2026-09-06 17:37:18,796 | INFO | main | Model and services ready.
2026-09-06 17:37:49,947 | INFO | prediction_router | Request received: Abacavir + Calcium chloride
2026-09-06 17:37:51,606 | INFO | predict_service | Prediction: Abacavir + Calcium chloride -> Moderate (55.47%)
2026-09-06 17:37:51,616 | ERROR | prediction_router | Internal error: BaseCAM.__call__() missing 1 required positional argument: 'targets'
Traceback (most recent call last):
  File "C:\MolRAG-DDI\backend\routers\prediction.py", line 34, in predict
    gradcam_a_path, gradcam_b_path = generate_gradcam_pair(model, payload.drug1, payload.drug2)
                                     ~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\MolRAG-DDI\backend\services\gradcam.py", line 62, in generate_gradcam_pair
    grayscale_cam_a = cam_a(input_tensor=img_a_tensor)[0]
                      ~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^
TypeError: BaseCAM.__call__() missing 1 required positional argument: 'targets'
2026-09-08 16:07:46,427 | INFO | predict_service | Loading model on device: cpu
2026-09-08 16:07:47,155 | INFO | predict_service | Model loaded successfully.
2026-09-11 18:03:07,743 | INFO | predict_service | Loading model on device: cpu
2026-09-11 18:03:08,339 | INFO | predict_service | Model loaded successfully.
2026-09-11 18:03:11,215 | INFO | main | MolRAG-DDI API starting up...
2026-09-11 18:03:11,215 | INFO | main | Model and services ready.
2026-09-11 18:03:43,594 | INFO | prediction_router | Request received: Abacavir + Acarbose
2026-09-11 18:03:45,292 | INFO | predict_service | Prediction: Abacavir + Acarbose -> Moderate (66.15%)
2026-09-11 18:03:50,420 | INFO | gradcam_service | Grad-CAM saved: C:\MolRAG-DDI\backend\outputs\gradcam\Abacavir_heatmap.png, C:\MolRAG-DDI\backend\outputs\gradcam\Acarbose_heatmap.png
2026-09-12 20:27:08,000 | INFO | predict_service | Loading model on device: cpu
2026-09-12 20:27:09,864 | INFO | predict_service | Model loaded successfully.
2026-09-12 20:27:16,403 | INFO | main | MolRAG-DDI API starting up...
2026-09-12 20:27:16,404 | INFO | main | Model and services ready.
2026-09-12 20:30:04,107 | INFO | prediction_router | Request received: Abacavir + Acitretin
2026-09-12 20:30:05,789 | INFO | predict_service | Prediction: Abacavir + Acitretin -> Severe (89.64%)
2026-09-12 20:30:11,256 | INFO | gradcam_service | Grad-CAM saved: C:\MolRAG-DDI\backend\outputs\gradcam\Abacavir_heatmap.png, C:\MolRAG-DDI\backend\outputs\gradcam\Acitretin_heatmap.png
2026-09-13 11:22:42,840 | INFO | rag_service | Loading RAG components...
2026-09-17 19:53:30,914 | INFO | rag_service | Loading RAG components...
2026-09-17 19:55:40,076 | INFO | rag_service | Loading RAG components...
2026-09-17 20:00:52,745 | INFO | rag_service | RAG ready: 191541 evidence vectors loaded.
2026-09-17 20:00:56,958 | INFO | rag_service | RAG explanation generated for Warfarin + Aspirin
2026-09-19 12:12:58,790 | INFO | rag_service | Loading RAG components...
2026-09-19 12:13:17,246 | INFO | rag_service | RAG ready: 191541 evidence vectors loaded.
2026-09-19 12:13:21,665 | INFO | rag_service | RAG explanation generated for Warfarin + Aspirin
2026-09-19 12:15:18,623 | INFO | rag_service | Loading RAG components...
2026-09-19 12:15:30,419 | INFO | rag_service | RAG ready: 191541 evidence vectors loaded.
2026-09-19 12:15:32,839 | INFO | predict_service | Loading model on device: cpu
2026-09-19 12:15:33,436 | INFO | predict_service | Model loaded successfully.
2026-09-19 12:15:36,673 | INFO | main | MolRAG-DDI API starting up...
2026-09-19 12:15:36,673 | INFO | main | Model and services ready.
2026-09-19 12:28:03,882 | INFO | rag_service | Loading RAG components...
2026-09-19 12:28:20,818 | INFO | rag_service | RAG ready: 191541 evidence vectors loaded.
2026-09-19 12:28:22,373 | INFO | predict_service | Loading model on device: cpu
2026-09-19 12:28:23,563 | INFO | predict_service | Model loaded successfully.
2026-09-19 12:28:28,168 | INFO | main | MolRAG-DDI API starting up...
2026-09-19 12:28:28,168 | INFO | main | Model and services ready.
2026-09-19 12:29:20,157 | INFO | prediction_router | Request received: abacavir + acebutolol
2026-09-19 12:29:20,157 | WARNING | prediction_router | Validation failed: Drug not found: 'abacavir'
2026-09-19 12:29:39,280 | INFO | prediction_router | Request received: Abacavir + Acebutolol
2026-09-19 12:29:41,109 | INFO | predict_service | Prediction: Abacavir + Acebutolol -> Moderate (66.04%)
2026-09-19 12:29:47,131 | INFO | gradcam_service | Grad-CAM saved: C:\MolRAG-DDI\backend\outputs\gradcam\Abacavir_heatmap.png, C:\MolRAG-DDI\backend\outputs\gradcam\Acebutolol_heatmap.png
2026-09-19 12:29:50,328 | INFO | rag_service | RAG explanation generated for Abacavir + Acebutolol
2026-09-21 09:38:38,810 | INFO | rag_service | Loading RAG components...
2026-09-21 09:41:23,355 | INFO | rag_service | RAG ready: 191541 evidence vectors loaded.
2026-09-21 09:41:32,009 | INFO | predict_service | Loading model on device: cpu
2026-09-21 09:41:34,195 | INFO | predict_service | Model loaded successfully.
2026-09-21 09:41:46,626 | INFO | main | MolRAG-DDI API starting up...
2026-09-21 09:41:46,628 | INFO | main | Model and services ready.
2026-09-21 10:10:46,187 | INFO | rag_service | Loading RAG components...
2026-09-21 10:11:03,759 | INFO | rag_service | RAG ready: 191541 evidence vectors loaded.
2026-09-21 10:11:07,434 | INFO | predict_service | Loading model on device: cpu
2026-09-21 10:11:08,895 | INFO | predict_service | Model loaded successfully.
2026-09-21 10:11:15,652 | INFO | main | MolRAG-DDI API starting up...
2026-09-21 10:11:15,653 | INFO | main | Model and services ready.
